hotel_name,location,wrote,rating,title,comment
Hyatt Centric Montevideo,"Martinez, Argentina",October 2021,5,"inicio de un viaje a Europa, previa escala en Huatt Centric","Dentro de los niveles de excelencia, se incluye este hermoso Hotel, frente al mar, ideal para descansar y conocer Montevideo desde este lugar maravilloso, con buenos servicios, atención impecable, que se trasmite en el bienestar del que se aloja, no solo las habitaciones sino la atención de sus empleados. Gracias Hotel Hyatt y a sus empleados!"
Hyatt Centric Montevideo,"Mar del Plata, Argentina",September 2021,5,Excelente servicio,"Me gustó mucho el servicio del Hotel, la ubicacion del mismo es muy buena también. El restaurante también es de muy buena categoría con muy buenas opciones. Seguramente lo elija en el caso de que deba retornar a Montevideo por motivos laborales."
Hyatt Centric Montevideo,"Mar del Plata, Argentina",September 2021,5,Muy recomendable,"Sorprende la excelente atención del personal. Ubicación inmejorable Divina decoración y muy buen parking. Los servicios de alimentos, desayuno,almuerzo y cena muy buenis y con excelentes propuestas. Recomendable"
Hyatt Centric Montevideo,"Mar del Plata, Argentina",September 2021,5,atencion del personal,"muy buena recepcion y atencion del servicio de cocina,mozos y conserjeria ,especialmente en los almuerzos y cenas por los camareros y camareras.La limpieza es tambien para rezaltar en los baños y la habitacion"
Hyatt Centric Montevideo,"Mar del Plata, Argentina",September 2021,5,Súper recomendable por ubicación y calidad,"Impecable hotel, muy recomendable para la familia, pareja o ir con amigos ! Muy buena ubicación, el spa divino y muy tranquilo . Desayuno muy abundante. Resto y Bar recomendable . Las habitaciones muy lindas y muy decorado en todas sus partes. Volvería sin dudarlo."
Hyatt Centric Montevideo,"Mar del Plata, Argentina",September 2021,5,El mejor hotel de Montevideo,"Es un hotel bastante nuevo, decorado con mucha onda, super funcional y con un estilo muy descontracturado. Los empleados brindan un trato super cordial y para nada acartonado, que hacen que uno se sienta muy cómodo. Las habitaciones son bien espaciosas y limpias y con una vista privilegiada a la rambla. El desayuno es excelente. Muy recomendable."
Hyatt Centric Montevideo,"Mar del Plata, Argentina",September 2021,5,Excelente,"Estoy acostumbrada a hoteles porque suelo viajar mucho a trabajo. Y realmente, es excelente. Es ideal, tranquilo, ubicación inmejorable, servicio estupendo. Lo guardé como mi opción indiscutida en Montevideo"
Hyatt Centric Montevideo,"Mar del Plata, Argentina",September 2021,4,Detalles mejorables,"Desajustes en temperatura, muy fresco en zona de entrada /recepción , agua de piscina demasiado caliente No arreglan habitación en estancia de dos noches Carta de restaurante escasa , solo salmón de pescado. Carta de vinos mejor ."
Hyatt Centric Montevideo,"Mar del Plata, Argentina",August 2021,5,CORDIALIDAD Y ELEGANCIA,"El trato en este Hotel es excelente, tiene todo lo que necesitas también. Habitaciones amplias y modernas. Podrían mejorar la habitación del hotel. Los fin de semana es muy ruidoso porque tocan música en la RAMBLA a todo lo que da (no es culpa del hotel)."
Hyatt Centric Montevideo,"Mar del Plata, Argentina",August 2021,5,Excelente,"Muy buen servicio en todas las aéreas, excelente trato de todos los colaboradores del hotel. Habitaciones muy cómodas con excelente higiene, muy buen desayuno y un muy lindo entorno. Un lugar para poder visitar mas adelante"
Hyatt Centric Montevideo,"Mar del Plata, Argentina",August 2021,5,COMODIDAD Y AMABILIDAD DE LOS FUNCIONARIOS,"Habitación amplia y confortable, muy buena disposición de los empleados, el desayuno exquisito y abundante. El Bar Moderno muy buen servicio y precios acorde al lugar, amabilidad de todo el personal del mismo."
Hyatt Centric Montevideo,"Montevideo, Uruguay",August 2021,5,Excelencia en la rambla,"Excelencia en amenities, cordialidad y altisima calidad. Lo mejor de Montevideo. El restaurant destaca por lo gourmet, las habitaciones son espaciosas, el desayuno es tan abundante como variado y el centro de bienestar tiene un mantenimiento excepcional"
Hyatt Centric Montevideo,"Montevideo, Uruguay",August 2021,5,Para no perderselo.,"Muy lindo, bien ubicado y muy buena atención del personal. Volveria sin dudarlo. Linda ubicación para salir y conocer caminando. Frente a la playa. Una muy opción para conocer laparte nueva de Montevideo"
Hyatt Centric Montevideo,"Montevideo, Uruguay",August 2021,5,CONFORT - LIMPIEZA - GENTILEZA,"habitaciones cómodas y amplias, baño compartimentado, limpieza excelentes, buenos amenities, calidad en sabanas y toallas, gentileza del personal, buena cocina, buena ubicación, faltaría más espacio en el garage condicionado a pocos vehículos y cafetera express en habitaciones."
Hyatt Centric Montevideo,"Montevideo, Uruguay",August 2021,5,inmejorable,"No es la primera vez que me hospedo en el hotel, lo vuelvo a elegir una y mil veces, excelete atencion de parte de todos, excelente servicio de limpieza en tiempos donde es sumamente importante! cuando marque que algo no me gusto o que me parecia que no estaba del todo bien, INMEDIATAMENTE han resuelto el problema y se han puesto a disposicion, se siente como en casa estar en hyatt centric montevideo."
Hyatt Centric Montevideo,"Montevideo, Uruguay",July 2021,4,Podría ser excelente pero...,"El personal del hotel es excelente en todo sentido. Mi esposa dejó oiviudada una mochila en el parking con una laptop y otras cosas importantes y valiosas: Ya de vuelta en nuestro país, llamamos al hotel y la tenían e iban a llamarnos. Verdaderamente amables y profesionales. Las instalaciones del hotel son excelentes, la habitación que ocupé es linda y muy cómoda. Tiene dos problemas: la iluminación de la habitación es muy mala, diseñada para crear un clima (penumbras y spots) y no para cumplir con una función práctica, siendo que ambas cosas pueden ser complementarias. La comida es solo buena."
Hyatt Centric Montevideo,"Montevideo, Uruguay",July 2021,4,Estadia Hyatt Centric Montevideo,"Muy buena atención del personal en general, habitaciones limpias y confortables, excelente ubicación, podría mejorarse la calidad del desayuno como también incrementar la cantidad de personal para su servicio."
Hyatt Centric Montevideo,"Montevideo, Uruguay",July 2021,4,De lo mejor en Montevideo,He estado en varios hoteles de Montevideo y este es muy funcional y cómodo. La decoración es un punto fuerte y la amabilidad del personal es remarcable. El gimnasio y la piscina están muy bien equipados
Hyatt Centric Montevideo,"Montevideo, Uruguay",July 2021,5,Hotel para estar como en casa,"Me encantó la decoración,son todo detalles,los empleados muy amables y la limpieza excelente,no puedo decir nada malo ,el desayuno me pareció muy completo y en general todos los empleados del hotel fueron muy amables y profesionales."
Hyatt Centric Montevideo,"Montevideo, Uruguay",July 2021,5,Buenísimo,"Muy buena atención. Cómodas instalaciones. La piscina linda, fitness completo. Tengo una camioneta grande y entro lo más bien al garage del hotel. Solo son un poco oscuros los colores dentro del hotel, preferiría colores más claros. El desayuno completo."
Hyatt Centric Montevideo,"Montevideo, Uruguay",July 2021,4,Hotel 5*,"Hotel muy bien situado, centrico, bien decorado, habitaciones amplias, comodas y silencioso. El personal del hotel fué amabilismo y respondió a todas mis solicitudes con prontitud. Lo único que no me gustó es que hubiera 2 rejillas de desagüe abiertas en el baño del cual no salían buenos olores. Por lo demás hotel maravilloso."
Hyatt Centric Montevideo,"Maldonado, Uruguay",July 2021,5,"Excelente estadía, la mejor onda","Fui con 4 niños por una noche. La ubicación, decoración es excelente. No faltó ningún detalle, habitaciones amplias lindas e impecables en todo aspecto. La buena onda del staff fue realmente un placer 100% recomendable"
Hyatt Centric Montevideo,"Maldonado, Uruguay",June 2021,5,Muy buena,"Una habitación muy cómoda. Excelentes lugares para trabajar con seguridad por virus en el hall principal, con buenas alternativas. Buen estacionamiento. Espero probar la próxima vez el gimnasio y la pileta"
Hyatt Centric Montevideo,"Maldonado, Uruguay",June 2021,5,Muy satisfecho,Estuve alojado 2 noches -tres dias . Muy buen servicio . Personal super amable y cercano. Me gustó la decoración . Habitación silenciosa (soy rarito para los ruidos ) . El gimnasio máquinas modernas y limpio .
Hyatt Centric Montevideo,"Maldonado, Uruguay",June 2021,5,La mejor opción,Gran lugar con la mejor vista de la costa montevideana en una zona excelente para realizar paseos por la rambla y cerca de los centros comerciales. Excelente calidad de personal y comidas. Gran cuidado y responsabilidad en todo el hotel en medidas de prevención del covid.
Hyatt Centric Montevideo,"Maldonado, Uruguay",March 2021,4,Experiencia más que satisfactoria,"Gran atención en tiempos Difíciles. Atentos a resolver cualquier Inconveniente, incluso casos excepcionales. (Me quede sin batería en el auto y lo resolvieron, me prestaron dinero para pagar un delivery,etc) El Personal lo mejor!"
Hyatt Centric Montevideo,"Maldonado, Uruguay",May 2021,4,Una maravilla de hotel,"Estuve hace poco en este hotel. La zona inmejorable,el hotel muy funcional y bonito,decorado con mucho gusto. El personal joven y muy amable. Una maravilla de servicio que hizo que mi estancia fuera perfecta."
Hyatt Centric Montevideo,"Maldonado, Uruguay",May 2021,5,El hotel para quedarse en Montevideo,"Está ubicado en uno de los mejores lugares de Montevideo, en la misma Rambla y con una vista privilegiada. Las habitaciones son amplias y están muy bien decoradas. La limpieza y se vivió impecable. Lobby hermoso y gran espacio de cafetería"
Hyatt Centric Montevideo,"Maldonado, Uruguay",May 2021,4,"Excelente Hotel, atencion y servicio","La verdad muy complacido con la atencion y servicio. Todos los protocolos de pandemia bien tomados. Las habiaciones impecables. La verdad se vive un hotel de alto nivel. Todos los servicios (aunque reducidos por pandemia) se disfrutaron bastante. Piscina, Restaurant y habitacion, todo excelente"
Hyatt Centric Montevideo,"Maldonado, Uruguay",May 2021,4,Cumpleaños en pandemia,Experiencia muy recomendable. Muy buen servicio y a buen precio. Se cumplieron los protocolos. Pasamos en familia y con un grupo reducido de amigos. El restaurante es muy ameno y la comida rica y con muy buena atención por parte del personal. Sin duda para volver.
Hyatt Centric Montevideo,"Maldonado, Uruguay",April 2021,5,El personal lo mejor,"Fuimos por trabajo. La decoración del hotel y la amabilidad del personal fue increíble. Las habitaciones amplias, cómodas y sin ruido. Está en frente de la playa justo en frente de las letras de Montevideo. El desayuno muy completo y con todas las medidas de seguridad en tiempos de pandemia."
Hyatt Centric Montevideo,"Barcelona, Spain",April 2021,3,Lo peor el desayuno,"Desayuno. El jugo de naranja que sirven en el desayuno no es exprimido. El pan de campo estaba duro, se notaba que era viejo. Las frutas no tienen gusto, son de mala calidad. Pedí el desayuno a la habitacion y me.lo cobraron por llevarmelo. No me avisaron que tenía costo. Los teléfonos de la habitación son difíciles de operar, hay que hacer un curso. No hay enchufe de fácil acceso a la pava eléctrica, hay que mover el mueble de la heladera"
Hyatt Centric Montevideo,"Barcelona, Spain",April 2021,3,"Hotel urbano. Lo mejor, el personal","Buena localización. Buena atención del personal. Menú de restaurante, pésimo. Decoración y disposición de las habitaciones con poco gusto y estilo. Escasa luz en las habitaciones. Buena limpieza y cuidado frente al COVID."
Hyatt Centric Montevideo,"Barcelona, Spain",February 2021,5,Excelente lugar en Montevideo,"Excelente lugar para pasar con tu familia, la atención es excelente, cuidando cada detalle y dentro de lo posible cada colaborador intenta que tu estadía sea inmejorable. La piscina muy disfrutable, la utilizamos dos veces con mi hijo y señora."
Hyatt Centric Montevideo,"Barcelona, Spain",March 2020,5,Excelente,Todo impecable muy buena la atención! Visite el hotel la noche de las fiesta de 15 de mi hija fue una experiencia muy linda con una vista espectacular y todo muy lindooo y limpio fuimos con amigas y familia
Hyatt Centric Montevideo,"Barcelona, Spain",March 2020,5,"High class, de lo mejor","No se podia esperar menos de este tipo de hoteles, de reconocida cadena a nivel Mundial, y q no desentona en nada aun estando en un país tan chico como Uruguay. Si pueden dense un lujo y experimenten sus desayunos como también su bar"
Hyatt Centric Montevideo,"Barcelona, Spain",February 2020,5,Un hotel de primera,El hotel te recibe super bien. La habitación es excelente y gigante (la nuestra) y la piscina tranquila y rica. El restaurante muy rico y el servicio muy bueno. Resolvieron todos nuestros problemas y el hotel tiene un diseño muy bueno.
Hyatt Centric Montevideo,"Barcelona, Spain",February 2020,5,Alto nivel,"El hotel es de primera, buena atención y preocupación constante por el huésped. Nos dieron late check out, sin costo, resolvieron nuestras inquietudes y tiene una atractiva piscina temperada. En el restaurante fueron muy considerados con nuestras peticiones. Su ubicación frente a la playa, lo hace una excelente alternativa."
Hyatt Centric Montevideo,"Barcelona, Spain",February 2020,5,"Acogedor, oportuno, bien ubicado","Hotel bien ubicado, con personal amable y dispuesto al servicio. lñas instalaciones son modernas, espacios amplios y servicios completos. La ubicacion permmite una vista agradable al rio y a la ciudad"
Hyatt Centric Montevideo,"Barcelona, Spain",February 2020,5,excelente,Quede muy satisfecha con el lugar y la atencion del personal a cargo. llevamos adelante un evento y todo funciono correctamente. un lugar super recomendable con comodas y amplias habitaciones para alojarse
Hyatt Centric Montevideo,"Barcelona, Spain",February 2020,5,Muy buen hotel,"Un hotel cómodo, ubicado frente a La Rampla (Pocitos). El personal atiende de manera muy amable. El desayuno era variado y de buena calidad. El gimnasio y la piscina son más bien pequeños, pero permiten realizar actividad física dentro del hotel."
Hyatt Centric Montevideo,"Santa Cruz, Bolivia",February 2020,5,Un lugar ideal para descansar,La comodidad de la cama y sus almohadas es insuperable. Un baño como pocos y una ducha placentera. Muy buen mobiliario en las habitaciones. Excelente variedad para el desayuno aunque el precio es caro.
Hyatt Centric Montevideo,"Santa Cruz, Bolivia",February 2020,5,Excelente servicio y ubicación.,"Muy bien ubicado, el tamaño de las habitaciones, baño muy amplias, buenas vistas. El personal del hotel muy dispuesto a ayudar y solucionar los problemas, siempre con una sonrisa y con mucho respeto, excelente experiencia."
Hyatt Centric Montevideo,"Santa Cruz, Bolivia",January 2020,5,Bien ubicado y moderno!,Estuvimos solo una noche pero esta bien ubicado. Es lindo y moderno. El desayuno es bastante completo y la habitación muy buena. Se duerme excelente. Nos encanto . Lo volveríamos a elegir como opción en Montevideo
Hyatt Centric Montevideo,"Santa Cruz, Bolivia",January 2020,5,Inolvidable,"Desde que llegamos fuimos bien recibidos, la atención del personal fue correcta y profesional. La habitación que elegimos resultó estupenda, con muy buena vista al mar, la piscina nos encantó; el desayuno es completo y con un inolvidable toque local con la disponibilidad del mate. Una experiencia encantadora!"
Hyatt Centric Montevideo,"Santa Cruz, Bolivia",January 2020,5,buena ubicación y excelente vista,Una muy agradable estadía en un hotel moderno y muy bien atendido. La vista es muy atractiva. Valentina de Recepción ha sido muy atenta y servicial. La habitación cómoda y espaciosa. Al llegar al hotel había demasiados coches en la entrada lo que dificultaba el proceso de retiro de maletas y check in . Claramente volveré !
Hyatt Centric Montevideo,"Santa Cruz, Bolivia",January 2020,5,Una hermosa sorpresa frente al mar.,En un edificio de aspecto exterior muy discreto encontramos un hotel muy moderno y lleno de detalles en su decoracion. Muy bien ubicado frente a la playa de Pocitos. Su restorant es muy variado y original en su carta a precios accequibles.
Hyatt Centric Montevideo,"Santa Cruz, Bolivia",January 2020,5,Espectacular,"Está en una zona muy linda, el edificio está en perfectas condiciones, el personal es super amable y las comidas en el restaurante y los tragos en el bar son muy buenos. Cuenta con gimnasio y una hermosa vista!"
Hyatt Centric Montevideo,"Santa Cruz, Bolivia",January 2020,5,Gran estadía!,"Si bien estuvimos tan solo 2 días en el hotel, fue todo increíble de principio a fin. Desde el check-in hasta el check-out los empleados fueron súper cordiales, eso ya te hace sentir de buena manera. Por otro lado, las instalaciones estaban en muy buen estado. Ni hablar de las habitaciones.. la cama un paraíso. Volveríamos sin dudas!"
Hyatt Centric Montevideo,"Santa Cruz, Bolivia",January 2020,5,Excelente !!!,"Excelente estadia, tanto los servicios que ofrece el hotel ( pileta, gimnasio, desayuno, etc) como la atencion del personal, super cordial y atentos a despejar las dudas. Altamente recomendable !! Fuimos por tramites y nos quedamos unos dias, la verdad lo pasamos genial!"
Hyatt Centric Montevideo,"Santa Cruz, Bolivia",January 2020,5,Un magnífico hotel,"Es un hotel de muy alto standing, pero lo más destacable su personal, eficiente y cordial, con deseos de ayudar y de hacer la estadía lo más confortable posible. Quizás como puntos a reforzar: el desayuno y que el agua de las pisicina esté más caliente... el resto, perfecto"
