id,hotel_name,user,city,date,contrib,help_votes,question
13,Hyatt Zilara Cancun,Maggie D,"Ashby de la Zouch, United Kingdom",May 2022,4,4,"Hi, could anyone please tell me what the difference is between Ocean Front Junior Suite Double and Ocean View Junior Suite King, apart from the size of the bed. Would we be guaranteed a good sea view with the Ocean Front room? Thanks"
14,Hyatt Zilara Cancun,Arg1982,"Toronto, Canada",May 2022,95,20,Can anyone comment on the seaweed situation? I know people staying at other resorts down the coast said it was completely unswimmable. Wondering if it’s the same here?
15,Hyatt Zilara Cancun,pdmifilrx,"Scarborough, Ontario",Apr 2022,6,26,"Thank you everyone for your responses. They were very helpful. Can anyone tell me if the house wines have improved at all? We were last there in May 2019 and they were terrible!!! Actually, they have been terrible every time we've been there but I'm hoping maybe they have improved the last few years??? My husband and I normally drink white zinfandel or sometimes pinot grigio but we really haven't enjoyed the wines at the Hyatt whenever we've been there. We wouldn't even mind ordering a bottle except that their prices were ridiculous!!!! The last time we were considering it, I think it was something like $32 USD for a bottle of white zinfandel which we buy here in Canada for $10 CDN!!!!!! Just couldn't do it!!!"
16,Hyatt Zilara Cancun,pdmifilrx,"Scarborough, Ontario",Apr 2022,6,26,"Hola! My husband and I are Real Club Members and have been to the Hyatt Zilara Cancun many times, first as the Royal Cancun then more recently as the Hyatt. We have, however, never travelled during a pandemic and are understandably a little nervous. I guess my first question would be ""Are the staff at the resort all vaccinated?"" Are the Covid protocols strictly enforced? Do you need to wear a mask when walking through the lobby or when entering restaurants? I'm assuming you don't need masks when you are outdoors? Also, what is your capacity like at this time of year during the pandemic? Thanks. Susan Jang"
17,Hyatt Zilara Cancun,Edlanning,,Apr 2022,4,2,"When staying at Zilara can you go to Ziva to use the pools, restaurants, beaches etc.?"
18,Hyatt Zilara Cancun,ChuckWorley,Albany,Apr 2022,1,,Do all of the rooms have kurig type coffee makers?
19,Hyatt Zilara Cancun,Doug R,,Mar 2022,,,HI looking to play golf when we are staying at hotel April 10th thru 15th
20,Hyatt Zilara Cancun,Eric T,,Mar 2022,,,Is the alcohol in the minibars in the rooms free of charge?
21,Hyatt Zilara Cancun,Andi,,Mar 2022,5,5,"Did anyone have trouble with concierge prior to check in? I’ve been trying to arrange transportation from the airport when we arrive. I emailed them a while back and got a prompt response asking for our flight information but after sending that nothing. The phone numbers on the email they sent don’t work, I’ve tried using the e-concierge tool on their website with no response. Should I just book with an outside company? and if so does anyone have any recommendations? Thanks!"
22,Hyatt Zilara Cancun,MelScottsdale,scottsdale,Mar 2022,108,76,Are there day trips to Tulum from the resort?
23,Hyatt Zilara Cancun,mexicotravelr,"Las Vegas, Nevada",Feb 2022,13,,Does your Club Ocean Front Master Suite offer a Queen size Rollaway Bed? I’m looking into upgrading my room and wanted to know if this room can accommodate my 2 kids that are at the ages of 12 and 15.
24,Hyatt Zilara Cancun,Warima M,TX,Feb 2022,91,63,Is this resort adults only? Thanks.
25,Hyatt Zilara Cancun,Lisa D,"Fort Lauderdale, Florida",Feb 2022,22,5,What is the per person cost of onsite COVID testing at the property?
26,Hyatt Zilara Cancun,carcodysmom,"Little Rock, Arkansas",Feb 2022,,,"in 2015, we stayed in one of the loft style room adjacent to the Hotel. Does Zilara still own these?"
27,Hyatt Zilara Cancun,Maureen M,"New York City, New York",Feb 2022,,,Is this resort fun for single people? or more towards couples?
28,Hyatt Zilara Cancun,OAmyLO,"Damascus, Oregon",Feb 2022,42,33,Are the prices for the rooms per person a night or for two?
29,Hyatt Zilara Cancun,aye d,"Falls Church, Virginia",Feb 2022,,,4 women looking to share a room - one of those with two double beds. Are these rooms comfy enough for 4 adults to share?
30,Hyatt Zilara Cancun,meliss_10,Los Angeles,Feb 2022,26,3,Do all rooms have a jacuzzi and hammock or only the suites?
31,Hyatt Zilara Cancun,j&n,,Jan 2022,2,,Who is the general manager at Hyatt zilara Cancun? Does anyone have the contact information for him/her? An email would be great thanks!
32,Hyatt Zilara Cancun,SandyK710,"Peabody, Massachusetts",Jan 2022,13,16,Does the Ocean Front Luxury Room category still come with a pre-assigned beach cabana?
33,Hyatt Zilara Cancun,Christy P,"Tooele, Utah",Jan 2022,12,1,Best golf nearby
34,Hyatt Zilara Cancun,F D,,Jan 2022,15,15,"Hi, can u smoke on the beach ? Are you allowed to smoke outside at pool ?"
35,Hyatt Zilara Cancun,Robert S,,Jan 2022,,,can you smoke on private deck outside your room ?
36,Hyatt Zilara Cancun,Robert S,,Jan 2022,,,can you smoke on you private deck outside your room ?
37,Hyatt Zilara Cancun,Kelvin M,,Jan 2022,,,How is the party atmosphere during spring break?
38,Hyatt Zilara Cancun,Wesley R,,Jan 2022,,,What are the covid restrictions going on at the hotel and around the city?
39,Hyatt Zilara Cancun,Andrew C,"Helotes, Texas",Dec 2021,42,66,"Any US travelers who have come back from their trip since the new 1-day testing requirements? Curious about your experience. The new 1-day testing has me a bit nervous about taking and getting results in time (even though I know the tests are ""rapid"")."
40,Hyatt Zilara Cancun,F D,,Nov 2021,15,15,Can u smoke on the beach?
41,Hyatt Zilara Cancun,shanany,New York,Nov 2021,2,4,How do you do restaurant reservations before you get to the hotel? what are the pool hours? How's the entertainment?
42,Hyatt Zilara Cancun,Jessi Swanson,"Southeast, Michigan",Nov 2021,5,2,Does anyone know when the construction on Pelicanos is going to be complete?
43,Hyatt Zilara Cancun,McMarshal,"Vancouver Island, Canada",Nov 2021,294,231,"Any travellers from non-US countries -- were you in fact able to get a PCR COVID test from the hotel/resort to meet the requirements to travel back to your home country? We're Canadians, and a PCR test is required to fly home in December after our 10 days in Cancun. It looks like they are available on resort, but I'm wondering how much of a hassle it was to get, and what you might have had to pay for it. Hyatt is clear about offering antigen tests for free, but only says that PCR tests ""are discounted"" for stays longer than 3 nights."
44,Hyatt Zilara Cancun,Gloriagill 0709,"San Francisco, California",Oct 2021,17,22,what do you need for a service pet from USA?
45,Hyatt Zilara Cancun,Sunshine D,,Oct 2021,,,How do I inform the staff we are visiting for our honeymoon? Is it tacky if I call and tell them? I don't think there was a space to do so when I booked the room.
46,Hyatt Zilara Cancun,Olesya S,"Chicago, Illinois",Oct 2021,30,4,"Hi, for those who stayed here how is the beach? Is it swimmable, is water calm?"
47,Hyatt Zilara Cancun,Sunshine D,,Oct 2021,,,My fiancé and I are looking into booking this resort for our honeymoon. What is the difference between the Oceanfront Junior Suite and the Luxury Ocean Front Suite? I have looked at YouTube room tours and they look the exact same. Is it worth the extra money?
48,Hyatt Zilara Cancun,michael k,,Oct 2021,19,85,Hi do you have to wear long trousers in all the restaurants?also are the pools heated in December.
49,Hyatt Zilara Cancun,Tiffany O,,Oct 2021,,,Does this resort offer American beer
50,Hyatt Zilara Cancun,Tiffany O,,Oct 2021,,,Does this resort offer American beer
51,Hyatt Zilara Cancun,CLyn6,Indiana,Sep 2021,97,20,Has anyone stayed here with 3 adults in 1 room? It seems they only have bedding for 2 adults. (Not going to squeeze 2 people into a full size bed.)
52,Wyndham Alltra Cancun,Terry C,"Scranton, Pennsylvania",Jul 2,9,18,Is there only one pool for the whole resort?
53,Wyndham Alltra Cancun,Voyage50070693359,,Jun 2022,,,Do you have covid testing at checkout
54,Wyndham Alltra Cancun,Navigator07023173571,,Jun 2022,,,Do the restaurants require reservations for dinner?
55,Wyndham Alltra Cancun,Laura V,"Thunder Bay, Canada",Jun 2022,2,5,Looking to book here. Is there an adults only section??
56,Wyndham Alltra Cancun,Valeria T,,Jun 2022,,,"How is the seaweed beach condition right now? (June 2022). If there is too much seaweed on the beach I'd prefer to go somewhere else, thanks."
57,Wyndham Alltra Cancun,Paul M,,May 2022,,,Do you have top chef cognac liquor on the bar ?
58,Wyndham Alltra Cancun,Lucas M,"Saint Louis, Missouri",May 2022,122,10,"Does anyone have any experience with photographers for family photos at this resort? Do they have their own, or are we allowed to have an external photographer come in?"
59,Wyndham Alltra Cancun,Lety T,,May 2022,,,Do you have covid Testing on site? PCR or antigen test at the hotel?
60,Wyndham Alltra Cancun,Inspire09759055473,,May 2022,,,Hello - I was wondering if it is essential to book dinner reservations before your trip and if so how do you do that
61,Wyndham Alltra Cancun,Lynsey T,,May 2022,1,,"Can any travellers from the UK tell me who they booked through, thanks"
62,Wyndham Alltra Cancun,kathy h,,Apr 2022,,,"If you test positive, what kind of room do you stay in?"
63,Wyndham Alltra Cancun,Adventure790675,,Apr 2022,,,Can you swim in the ocean at this resort?
64,Wyndham Alltra Cancun,rke18st,derby,Apr 2022,,,"Hi are there water sports on the beach with this hotel eh kayak, windsurf? Thanks"
65,Wyndham Alltra Cancun,BillD44,"Atlanta, Georgia",Apr 2022,52,76,Does anyone have a direct email for the property? I found an old question/answer on here where a hotel employee gave an email address for the Panama Jack resort but it has changed names & ownership since then.
66,Wyndham Alltra Cancun,Anthony L,,Apr 2022,,,"Bonsoir, j’envisage de reserver un sejour de 10 nuits dans cet hotel mais j’ai peur que les sargasses viennent gâcher l’expérience. Quelqu’un sait il me dire si les algues ont pris possession de la plage ? Par avance merci :)"
67,Wyndham Alltra Cancun,Anthony L,,Apr 2022,,,"Bonsoir, j’envisage de reserver un sejour de 10 nuits dans cet hotel mais j’ai peur que les sargasses viennent gâcher l’expérience. Quelqu’un sait il me dire si les algues ont pris possession de la plage ? Par avance merci :)"
68,Wyndham Alltra Cancun,Neil O,"Media, Pennsylvania",Mar 2022,1,,Can I see NCAA final four this weekend at hotel
69,Wyndham Alltra Cancun,Neil O,"Media, Pennsylvania",Mar 2022,1,,Can I buy wine and vodka at hotel?
70,Wyndham Alltra Cancun,Neil O,"Media, Pennsylvania",Mar 2022,1,,Can I see ncaa final four games this week
71,Wyndham Alltra Cancun,Neil O,"Media, Pennsylvania",Mar 2022,1,,Can I reserve a cabana on check in and what is the cost?
72,Wyndham Alltra Cancun,BrazilNut,,Mar 2022,1,,What types or plugs do we bring? We live in the US.
73,Wyndham Alltra Cancun,karenfrench1966,"Greater London, United Kingdom",Mar 2022,1,,"Are the swim up suites better than a beach front walk out, also is room service free"
74,Wyndham Alltra Cancun,Neil O,"Media, Pennsylvania",Mar 2022,1,,do i have to wear a mask in restaurants
75,Wyndham Alltra Cancun,pea b,,Mar 2022,,,late check out
76,Wyndham Alltra Cancun,Shaina P,"Denver, Colorado",Mar 2022,,,Is there high chairs?
77,Wyndham Alltra Cancun,Cherie C,"Dayton, Ohio",Mar 2022,7,,Is there a strict age limit on the kids club? I have an almost 3 year old and almost 4 year old. Do they check the kid's ID/passports?
78,Wyndham Alltra Cancun,Brian C,,Mar 2022,8,1,What is the VIP lounge and how much is it?
79,Wyndham Alltra Cancun,Brian C,,Mar 2022,8,1,I have seen the laundry is 10 usd a day. Is the laundry service per day you are there or per day you use it? How much will they do at a time. Thanks for answers. P.S. Any tips we are going end of june
80,Wyndham Alltra Cancun,Yves S,,Mar 2022,,,Is there a charge for covid test at hotel??
81,Wyndham Alltra Cancun,Gabriela L,,Mar 2022,,,Hi. Îs this hotel offering traveling vivid testing?
82,Wyndham Alltra Cancun,Gabriela L,,Mar 2022,,,Hi. Îs this hotel offering traveling vivid testing?
83,Wyndham Alltra Cancun,BrotherDerrick,"Springfield, Massachusetts",Mar 2022,331,30,What exactly makes a premium room premium? What are the extras in premium booking?
84,Wyndham Alltra Cancun,Sheila D,"Kirtland, Ohio",Mar 2022,7,1,Is there a dress code for any of the restaurants? We stayed at a resort which previously required dress clothes for certain restaurants
85,Wyndham Alltra Cancun,William B,"Forest, Virginia",Feb 2022,2,1,Is tipping expected at meals for all-inclusive guests?
86,Wyndham Alltra Cancun,Megan F,"Minneapolis, Minnesota",Feb 2022,,,Are there basketball hoops there?
87,Wyndham Alltra Cancun,Michele L,"Nashville, Tennessee",Feb 2022,20,23,Are the cabanas still included with the swim up suites? Thanks!
88,Wyndham Alltra Cancun,Brian C,,Feb 2022,8,1,if you need to wash cloths what can you do? Do they have washers?
89,Wyndham Alltra Cancun,Irina F,,Feb 2022,,,Do the king size rooms have a pull out couch? How about the 2 double bed rooms? Thank you!
90,Wyndham Alltra Cancun,Pammy D,"London, Canada",Feb 2022,,,Hi! Arriving in March 10th. So excited! Are there a lot of vegetarian options?
91,Wyndham Alltra Cancun,sn0pea07,"Charlottetown, Canada",Jan 2022,2,2,Does the hotel offer on site PCR tests? If yes how much does it cost and how fast are the results? We are staying end of February and are coming from Canada so we require a negative test to return home. Thanks!
92,Wyndham Alltra Cancun,Alli H,,Jan 2022,,,I am curious if this is truly all inclusive or if there hidden costs and fees
93,Wyndham Alltra Cancun,R Ogden,"Pottersville, Missouri",Jan 2022,10,,We were wondering if the bigger waterslides shown in the castles in some of the travelers pictures are here? They are dated older and also if its included...On the resort site they aren't pictured and only show the tiny pirate ship. Our kids are older so would really love the bigger slides.
94,Wyndham Alltra Cancun,Julissa Z,New York,Jan 2022,,,"Hi, I am staying in the Wyndham on February for my husband’s birthday. Does anyone know if the hotel can provide a special welcome to the room? Or if they provide airport shuttle? Is there a contact number or email that can be provided?"
95,Wyndham Alltra Cancun,Lee,,Jan 2022,,,"My flight will arrive at Cancun very early in the morning. Can I check in before 3 pm, in the morning? Or even if my room is not ready, can I use the facilities like restaurant and pool since morning?"
96,Wyndham Alltra Cancun,Keli H,"Glen Carbon, Illinois",Jan 2022,2,1,"Does the 1 Bedroom suite sleep 5? It looks like there is a king bed bedroom and a separate living room with bunk bed, trundle and couch."
97,Wyndham Alltra Cancun,Keli H,"Glen Carbon, Illinois",Jan 2022,2,1,"Hi there! We are looking to book the Master One Bedroom Suite Oceanfront room for our family of 5. (2 adults, and 3 children ages 6, 10, and 13). I want to make sure that everybody has a place to sleep with some privacy for the parents. The online description is very vague. It just says 1 king bed. However, the picture shows a king bed and some bunk beds that appear to be in a separate room. Am I correct when I see that there is a bedroom with a king bed with a door for the adults and a separate living room with bunk/trundle/couch for the 3 kids? Please provide me with some clarification. If not, please let me know so that I can find a more appropriate room. We are not interested in a family suite as there is no privacy for the adults in that particular room. Thanks!"
98,Wyndham Alltra Cancun,Frankie,"Pekin, Illinois",Jan 2022,,,We are going to be there January 29 -February 5. There is a group of 10 of us. We booked this Resort because we always stayed at Panama Jack in Playa one couple Bill & Tara Blue has been at least 20 times Rick & Frankie VaNattan have been 7 times we booked here because the name & we wanted to try a new area Cancun. The question I have is there a way to get our rooms in the same area. I also have another Question do men have to dress codes in any restaurants. thank you for your time. Frankie VanNattan
99,Wyndham Alltra Cancun,3or4,"FTC, colorado",Jan 2022,171,20,Could someone tell me the AI daily rate for for someone staying here on a timeshare trade? Thanks
100,Wyndham Alltra Cancun,Michelle C,,Dec 2021,,,How many bathrooms are in an Oceanfront Master Suite?
101,Wyndham Alltra Cancun,Olympic12,"Brighton, Canada",Dec 2021,295,77,"Hello, I have an upcoming stay and would like to contact the hotel directly to make special arrangements for a birthday. I cannot find an email address anywhere. Can someone please provide me with a contact? Thanks in advance, Kara"
102,Paradisus Cancun,bjkraham,"Bethesda, Maryland",Yesterday,16,17,Is the water at the hotel filtered? Is it safe to use icecubes in drinks and eat vegetables and fruit that have been washed in the water?
103,Paradisus Cancun,Janice L,,Yesterday,,,Can 5 people stay in one room for an additional charge? Youngest is a 13 yr old girl and she would rather be in room with us than be in separate room with teen brothers
104,Paradisus Cancun,Karambeer,"Austin, Texas",Jul 9,1,,"If we get two separate room next to each other, is there a door inside the rooms that would connect them?"
105,Paradisus Cancun,Rae S,"Trenton, New Jersey",Jul 5,3,1,Does the hotel provide beach bags for guests in 2022?
106,Paradisus Cancun,Janet H,"Sayville, New York",Jun 2022,,,Are masks still required?
107,Paradisus Cancun,Elyse,"Homestead, Florida",Jun 2022,,,"Hey Im planning on booking but had a few questions before I do, does anyone know if the hotel offers special requests for birthdays I dont mind paying extra. does the hotel offer a car service to pick you up from the airport to take you to the hotel?"
108,Paradisus Cancun,LovemyBrit,,Jun 2022,,,I am arriving July 19 and would like to reserve a cabana for a couple days and make reservations at the restaurants. How do I go about doing that? Thank you.
109,Paradisus Cancun,LovemyBrit,,Jun 2022,,,I am arriving July 19 and would like to reserve a cabana for a couple days and make reservations at the restaurants. How do I go about doing that? Thank you.
110,Paradisus Cancun,liv2travel,California,Jun 2022,94,36,What's the easiest way to get to the ferry to Isla Mujeres?
111,Paradisus Cancun,Natalie W,,Jun 2022,,,"HI, few questions... 1-wondering what the kids club hours are? I noticed few restaurants are adults only, is kids club open for dinner? 2-any good markets to shop for artisan art, souvenirs?"
112,Paradisus Cancun,Laurie D,Massachusetts,Jun 2022,,,hello. does the resort offer non alcoholic beer for reserve guests??
113,Paradisus Cancun,THE TRAVEL STUDIO,"Houston, Texas",May 2022,41,45,Does The Reserve section have connecting rooms?
114,Paradisus Cancun,mermaid12,florida,May 2022,38,11,Hi i am arriving saturday and i was wondering if i could see a copy of your wine list ahead of time. We are interested in sauvignon blanc by the glass or bottle. Thank you
115,Paradisus Cancun,adrian b,,May 2022,,,Can I smoke in the balcony of the room?
116,Paradisus Cancun,Kristen B,"Saint Louis, Missouri",May 2022,1,1,HI! What is the beer selection?
117,Paradisus Cancun,Maria Cristina T,,May 2022,2,2,"Hola, me gustaría saber si los restaurantes Santé y Enso forman parte del all inclusive o si tienen un cargo extra o si son para The Reserve. Además cuantos bares hay? Sé que está el Ginger bar pero en otro página encontré que hay más. Muchas gracias! Ya tengo mi reserva para dentro de unos meses!"
118,Paradisus Cancun,Warima M,TX,May 2022,91,63,"I was told that the resort is stopped providing free Covid test. Is this info true? If it is, How much is antigen test? And where can I get it done? TIA"
119,Paradisus Cancun,Alex Superczynski,,Apr 2022,,,"Hello, my fiance and I will be making the trip to Cancun soon and I was curious if anyone had any insight on what type of COVID travel protocols/precautions we need to follow before arriving. For example, do we need to provide proof of a negative COVID test before entering the country? Is there a time period in which that COVID test will be valid before traveling? Also - Are there any protocols or requirements related to flying back into the United States? If so, does Paradisus Cancun provide COVID tests for that purpose? Thanks."
120,Paradisus Cancun,Alex Superczynski,,Apr 2022,,,"Hi, my fiance and I are booked for a trip this summer. I wanted to see if anyone could provide information on if they booked excursions, made restaurant reservation, spa appointments, etc. before arriving for their stay at the resort? If so, could anyone help in providing contact information."
121,Paradisus Cancun,Cari12,"Monterrey, Mexico",Apr 2022,48,32,"Me podrían dar información del servicio de niñera? Especificamente el costo y horario, es para dos niñas pqueñas (1 y 3 años)"
122,Paradisus Cancun,Dgw W,,Apr 2022,,,Does Paradisus Cancun have COVID testing
123,Paradisus Cancun,Dgw W,,Apr 2022,,,I’d COVID testing available a Paradisus Cancun
124,Paradisus Cancun,Milagros R,,Apr 2022,,,Does hotel provide for Covid-19 antigen (rapid test)? US requires 1 day prior entering negative test.
125,Paradisus Cancun,FellowTraveler293902,,Apr 2022,1,,"I am coming for my honeymoon. I will get a photo session on the beach early morning. Therefore, on the day of photo session, I need to bring a hair stylist to my room for an hour at 7 am. Can the receptionist take her to my room?"
126,Paradisus Cancun,GLT w,,Apr 2022,11,11,"Hi, do you have shuttle service to pick up your guest from the airport to your hotel?"
127,Paradisus Cancun,Mc K,,Apr 2022,,,airport shuttle available?
128,Paradisus Cancun,Austinite11,"Austin, TX",Apr 2022,3,1,"Can I get a list of restaurants at Paradisus Cancun? The Melia Hotels website has one list, while all 3rd party booking sites including Costco and paradisuscancun have a different list."
129,Paradisus Cancun,Maria Cristina T,,Apr 2022,2,2,"Hola, estoy yendo dentro de poco y quería saber si las cabañas de la piscina forman parte del all inclusive?. Leí que las cabañas de la playa (las camas balinesas) si son solo de the reserve. Además, cuánta anticipación debo reservas las cenas en los restaurantes? Los desayunos y almuerzos también deben reservarse? Gracias!"
130,Paradisus Cancun,Warima M,TX,Apr 2022,91,63,What is the current situation of sargassum at the property please?
131,Paradisus Cancun,BrM,,Apr 2022,,,"Hi, how much fee do they charge for the beach bali beds, if one is booked in all-inclusive but without the reserve category?"
132,Paradisus Cancun,BrM,,Apr 2022,,,"Hi, how much fee do they charge for each room service, if one is booked in all-inclusive but not the reserve section?"
133,Paradisus Cancun,Jennifer S,,Mar 2022,,,Can someone that has been to Paradisus in the last month post pics of the menus for the alacart restaurants? The names have changed for many since we went last year. I checked the app but only a few of the menus were available that way. Thank you!
134,Paradisus Cancun,Jennifer S,,Mar 2022,,,Hello! Had anyone taken the ferry over to Isla Mujeres instead of booking a tour with an agency? I'm wondering how expensive it is to get a taxi to the marina to catch the ferry. Or if the $1 bus that stops outside Paradisus would stop at the marina?
135,Paradisus Cancun,BrM,,Mar 2022,,,"Hi, Is Enso restaurant included in all-inclusive for all guests or is it only for the Reserve suites guests?"
136,Paradisus Cancun,Wendysare,"Monterrey, Mexico",Mar 2022,3,,Cuentan con piscina para niños?
137,Paradisus Cancun,Sarah,"Oak Park, Illinois",Mar 2022,,,"Hi, I was wondering if some rooms still have the kitchenettes available? We need that for a guest in our party with specific food needs but I wasn’t sure if the renovations had removed all the kitchenettes from the rooms. Thanks!"
138,Paradisus Cancun,Victoria H,,Mar 2022,1,1,"Hello, wondering if this hotel is done renovations yet. Visited in November 2021 and am considering returning next year 2023. The smell of paint spray and dusty air in pyramid 3 was a big thumbs down and wouldn’t want to have that around again…."
139,Paradisus Cancun,James O,"Toronto, Canada",Mar 2022,,,"What Brands of alcohol are included in the AI, tequila and vodka to be more specific?"
140,Paradisus Cancun,Mike R,"Ormond Beach, Florida",Mar 2022,3,1,Do you offer excursions?
141,Paradisus Cancun,Rachel G,,Mar 2022,,,Do I need a credit card to check-in or pay for the all-inclusive costs or can I use my debit card?
142,Paradisus Cancun,Tim M,,Mar 2022,,,When is room service available? And what is available on the menu?
143,Paradisus Cancun,Tim M,,Mar 2022,,,When is room service available? And what is available on the menu?
144,Paradisus Cancun,Warima M,TX,Feb 2022,91,63,Have the bars closing time gone back to normal since some of Covid restrictions have been lifted? Any bar opens until 11 pm for adults only?
145,Paradisus Cancun,Sam J,"West University Place, Texas",Feb 2022,1,1,Best restaurants to try? We are only there for 3 days and want to make sure we aren’t missing anything.
146,Paradisus Cancun,Indie500,"Toronto, Canada",Feb 2022,3,,How much were Bali beds to book if you wanted extra days with it? Beach and Pool process if possible please!
147,Paradisus Cancun,Lara F,"Sandy, Utah",Feb 2022,51,9,Do Melia club members stay at the Level or Reserve pyramids at Paradisus Cancun?
148,Paradisus Cancun,Sam J,"West University Place, Texas",Feb 2022,1,1,"I thought the drinks were included? In the app, it shows the swim up bar and grill having prices next to drinks and food. I am confused."
149,Paradisus Cancun,Sam J,"West University Place, Texas",Feb 2022,1,1,Are the pools heated and are there hot tubs for teens to use? How much are massages? How much is room service? What other add in costs are there for parents traveling with a teen?
150,Paradisus Cancun,Anonimus,,Jan 2022,1,,"Hi, we booked rooms in the Reserva. Where is the check in for the reserva's guest? In the main building, or we have separated check in? If we are come from the airport which building we have to go?"
151,Paradisus Cancun,Liz R,Chicago,Jan 2022,10,33,Is the Capital One Quick Silver Rewards credit card accepted?
152,Live Aqua Beach Resort Cancun,Navigate74054,,Jul 8,,,Is there a dj by the pool or at night?
153,Live Aqua Beach Resort Cancun,Juli C,"Houston, Texas",Jun 2022,30,3,I booked garden view online through southwest. Would they allow an upgrade at checkin?
154,Live Aqua Beach Resort Cancun,Ziggy D,"Prince Albert, Canada",Jun 2022,32,5,"What is the deal at this resort for scuba diving ? Are the dives includedd in the vacation package ? If not, how much do they charge per dive or hour ? How far the diving site is from resort ? Are the diving trips can be arranged at the resort ? Do they providing diving gear free of charge ?"
155,Live Aqua Beach Resort Cancun,TremontRaven,"Cleveland, Ohio",Jun 2022,196,52,"What kind of outlets are in the rooms? Coming from the US, will we need to bring converters?"
156,Live Aqua Beach Resort Cancun,holababa,"Oakville, Canada",May 2022,85,256,Any heated pools?
157,Live Aqua Beach Resort Cancun,RobertMerritt15,"Dallas, Texas",May 2022,2,,Are all inclusive passes available for someone who is NOT staying at the property? Thank you!
158,Live Aqua Beach Resort Cancun,NANCY S,,May 2022,8,3,Is the chef William still at the MB restaurant?
159,Live Aqua Beach Resort Cancun,Gerry W,,Apr 2022,,,"Does they up charge for food , alcohol , pool seating and resort fees?"
160,Live Aqua Beach Resort Cancun,Shawn C,"Seattle, Washington",Apr 2022,,,Which rooms have the bath/jacuzzi tubs?
161,Live Aqua Beach Resort Cancun,Traveler49553889815,,Apr 2022,,,Is there a dress code for men at night or ladies?
162,Live Aqua Beach Resort Cancun,AbbyATX,"Austin, Texas",Apr 2022,60,44,"What are the current covid rules for guests? Are masks required in all public areas, including the pool?"
163,Live Aqua Beach Resort Cancun,Deannamccullough,"Richmond, Virginia",Apr 2022,18,8,I have four kids ages 23-17. Can the 17 year old come to this adults only resort?
164,Live Aqua Beach Resort Cancun,Kim Y,"Hockley Heath, United Kingdom",Apr 2022,20,13,"Hi, when is the opening date for Live Aqua Riviera Maya Tulkal Tulum hotel please."
165,Live Aqua Beach Resort Cancun,Scargilla,"Manchester, England, United Kingdom",Apr 2022,37,27,"We're heading to the resort Mid - May, how is the construction next door currently? Is it likely to disturb us relaxing during the day or wake us up early morning?"
166,Live Aqua Beach Resort Cancun,Dave,"Dallas, Texas",Mar 2022,1,4,"How is the travel into Mexico, but more importantly how is the experience coming back to the US. Does the requirement of having a COVID test result create delays or any additional hassles?"
167,Live Aqua Beach Resort Cancun,Dave,"Dallas, Texas",Mar 2022,1,4,"What was the experience on going to Mex and returning back to the US, does the requirement of a COVID test result slow things down or create any additional hassles on the flight back to the US?"
168,Live Aqua Beach Resort Cancun,Explore783879,"Chesapeake, Virginia",Mar 2022,7,,How much is Aqua Club per day and can guests sign up before their arrival?
169,Live Aqua Beach Resort Cancun,gilesteban01,"Springfield, New Jersey",Mar 2022,30,,Do they have a covid testing on-site?
170,Live Aqua Beach Resort Cancun,Sandra P,,Mar 2022,,,Where can i get restaurant menus?
